호선,역명,일시,측정값,데이터기준일자
2,강남,2024-01-16 11,26.6,2024-02-29
2,강남,2024-01-16 12,24.7,2024-02-29
2,강남,2024-01-16 13,33.8,2024-02-29
2,강남,2024-01-16 14,29.8,2024-02-29
2,강남,2024-01-16 15,41.9,2024-02-29
2,강남,2024-01-16 16,38.4,2024-02-29
2,강남,2024-01-16 17,36.6,2024-02-29
2,강남,2024-01-16 18,38.2,2024-02-29
2,강남,2024-01-16 19,44.2,2024-02-29
2,강남,2024-01-16 20,44.1,2024-02-29
2,강남,2024-01-16 21,41.5,2024-02-29
2,강남,2024-01-16 22,32.6,2024-02-29
2,강남,2024-01-16 23,28,2024-02-29
2,강남,2024-01-17 00,33.4,2024-02-29
2,강남,2024-01-17 01,46.5,2024-02-29
2,강남,2024-01-17 02,1.6,2024-02-29
2,강남,2024-01-17 03,3.8,2024-02-29
2,강남,2024-01-17 04,11.5,2024-02-29
2,강남,2024-01-17 05,16.1,2024-02-29
2,강남,2024-01-17 06,9.6,2024-02-29
2,강남,2024-01-17 07,18.2,2024-02-29
2,강남,2024-01-17 08,44.8,2024-02-29
2,강남,2024-01-17 09,63.8,2024-02-29
2,강남,2024-01-17 10,57.1,2024-02-29
2,강남,2024-01-17 11,42.5,2024-02-29
2,강남,2024-01-17 12,37.9,2024-02-29
2,강남,2024-01-17 13,42.2,2024-02-29
2,강남,2024-01-17 14,44.3,2024-02-29
2,강남,2024-01-17 15,49.5,2024-02-29
2,강남,2024-01-17 16,25.4,2024-02-29
2,강남,2024-01-17 17,31,2024-02-29
2,강남,2024-01-17 18,43.8,2024-02-29
2,강남,2024-01-17 19,47.4,2024-02-29
2,강남,2024-01-17 20,43.5,2024-02-29
2,강남,2024-01-17 21,37.1,2024-02-29
2,강남,2024-01-17 22,41.6,2024-02-29
2,강남,2024-01-17 23,93.9,2024-02-29
2,강남,2024-01-18 00,68.8,2024-02-29
2,강남,2024-01-18 01,99.3,2024-02-29
2,강남,2024-01-18 02,49.5,2024-02-29
2,강남,2024-01-18 03,25.2,2024-02-29
2,강남,2024-01-18 04,22.8,2024-02-29
2,강남,2024-01-18 05,28.7,2024-02-29
2,강남,2024-01-18 06,24.6,2024-02-29
2,강남,2024-01-18 07,22.6,2024-02-29
2,강남,2024-01-18 08,11.9,2024-02-29
2,강남,2024-01-18 09,6.6,2024-02-29
2,강남,2024-01-18 10,39.5,2024-02-29
2,강남,2024-01-18 11,34.6,2024-02-29
2,강남,2024-01-18 12,33.2,2024-02-29
2,강남,2024-01-18 13,31.8,2024-02-29
2,강남,2024-01-18 14,27.7,2024-02-29
2,강남,2024-01-18 15,25.4,2024-02-29
2,강남,2024-01-18 16,112.3,2024-02-29
2,강남,2024-01-18 17,99.1,2024-02-29
2,강남,2024-01-18 18,49.5,2024-02-29
2,강남,2024-01-18 19,39.1,2024-02-29
2,강남,2024-01-18 20,29.5,2024-02-29
2,강남,2024-01-18 21,17.8,2024-02-29
2,강남,2024-01-18 22,20.4,2024-02-29
2,강남,2024-01-18 23,18,2024-02-29
2,강남,2024-01-19 00,10.7,2024-02-29
2,강남,2024-01-19 01,25,2024-02-29
2,강남,2024-01-19 02,18.1,2024-02-29
2,강남,2024-01-19 03,13.2,2024-02-29
2,강남,2024-01-19 04,13.7,2024-02-29
2,강남,2024-01-19 05,10.3,2024-02-29
2,강남,2024-01-19 06,8.4,2024-02-29
2,강남,2024-01-19 07,13.2,2024-02-29
2,강남,2024-01-19 08,21.5,2024-02-29
2,강남,2024-01-19 09,44.9,2024-02-29
2,강남,2024-01-19 10,32.3,2024-02-29
2,강남,2024-01-19 11,16.5,2024-02-29
2,강남,2024-01-19 12,23.2,2024-02-29
2,강남,2024-01-19 13,16.7,2024-02-29
2,강남,2024-01-19 14,15.2,2024-02-29
2,강남,2024-01-19 15,19.7,2024-02-29
2,강남,2024-01-19 16,29.5,2024-02-29
2,강남,2024-01-19 17,26.5,2024-02-29
2,강남,2024-01-19 18,24.7,2024-02-29
2,강남,2024-01-19 19,41.8,2024-02-29
2,강남,2024-01-19 20,30.4,2024-02-29
2,강남,2024-01-19 21,20.6,2024-02-29
2,강남,2024-01-19 22,11.5,2024-02-29
2,강남,2024-01-19 23,11.8,2024-02-29
2,강남,2024-01-20 00,13.9,2024-02-29
2,강남,2024-01-20 01,12,2024-02-29
2,강남,2024-01-20 02,3,2024-02-29
2,강남,2024-01-20 03,0.6,2024-02-29
2,강남,2024-01-20 04,1.5,2024-02-29
2,강남,2024-01-20 05,0.1,2024-02-29
2,강남,2024-01-20 06,3.4,2024-02-29
2,강남,2024-01-20 07,0.9,2024-02-29
2,강남,2024-01-20 08,17.7,2024-02-29
2,강남,2024-01-20 09,30.1,2024-02-29
2,강남,2024-01-20 10,20.8,2024-02-29
2,강남,2024-01-20 11,20.3,2024-02-29
2,강남,2024-01-20 12,22.9,2024-02-29
2,강남,2024-01-20 13,22.4,2024-02-29
2,강남,2024-01-20 14,22.8,2024-02-29
2,강남,2024-01-20 15,21.1,2024-02-29
2,강남,2024-01-20 16,16.7,2024-02-29
2,강남,2024-01-20 17,15.8,2024-02-29
2,강남,2024-01-20 18,24.5,2024-02-29
2,강남,2024-01-20 19,15.2,2024-02-29
2,강남,2024-01-20 20,13.5,2024-02-29
2,강남,2024-01-20 21,7.8,2024-02-29
2,강남,2024-01-20 22,11.3,2024-02-29
2,강남,2024-01-20 23,4.2,2024-02-29
2,강남,2024-01-21 00,4.1,2024-02-29
2,강남,2024-01-21 01,0.8,2024-02-29
2,강남,2024-01-21 02,2.7,2024-02-29
2,강남,2024-01-21 03,0.6,2024-02-29
2,강남,2024-01-21 04,3.6,2024-02-29
2,강남,2024-01-21 05,2.6,2024-02-29
2,강남,2024-01-21 06,2.7,2024-02-29
2,강남,2024-01-21 07,5.1,2024-02-29
2,강남,2024-01-21 08,6.1,2024-02-29
2,강남,2024-01-21 09,12.1,2024-02-29
2,강남,2024-01-21 10,18.1,2024-02-29
2,강남,2024-01-21 11,15.1,2024-02-29
2,강남,2024-01-21 12,16.6,2024-02-29
2,강남,2024-01-21 13,18.2,2024-02-29
2,강남,2024-01-21 14,19.6,2024-02-29
2,강남,2024-01-21 15,22.7,2024-02-29
2,강남,2024-01-21 16,11.1,2024-02-29
2,강남,2024-01-21 17,5.6,2024-02-29
2,강남,2024-01-21 18,14.8,2024-02-29
2,강남,2024-01-21 19,13.3,2024-02-29
2,강남,2024-01-21 20,11.3,2024-02-29
2,강남,2024-01-21 21,31.5,2024-02-29
2,강남,2024-01-21 22,30.2,2024-02-29
2,강남,2024-01-21 23,29.1,2024-02-29
2,강남,2024-01-22 00,23.9,2024-02-29
2,강남,2024-01-22 01,31.1,2024-02-29
2,강남,2024-01-22 02,27,2024-02-29
2,강남,2024-01-22 03,24.8,2024-02-29
2,강남,2024-01-22 04,20.5,2024-02-29
2,강남,2024-01-22 05,19.4,2024-02-29
2,강남,2024-01-22 06,14.8,2024-02-29
2,강남,2024-01-22 07,16.2,2024-02-29
2,강남,2024-01-22 08,50.5,2024-02-29
2,강남,2024-01-22 09,92,2024-02-29
2,강남,2024-01-22 10,84.9,2024-02-29
2,강남,2024-01-22 11,50.8,2024-02-29
2,강남,2024-01-22 12,51,2024-02-29
2,강남,2024-01-22 13,46.1,2024-02-29
2,강남,2024-01-22 14,42.5,2024-02-29
2,강남,2024-01-22 15,43.3,2024-02-29
2,강남,2024-01-22 16,45.3,2024-02-29
2,강남,2024-01-22 17,52.9,2024-02-29
2,강남,2024-01-22 18,57.4,2024-02-29
2,강남,2024-01-22 19,57.6,2024-02-29
2,강남,2024-01-22 20,51.3,2024-02-29
2,강남,2024-01-22 21,32.3,2024-02-29
2,강남,2024-01-22 22,22.9,2024-02-29
2,강남,2024-01-22 23,20.7,2024-02-29
2,강남,2024-01-23 00,10,2024-02-29
2,강남,2024-01-23 01,7.2,2024-02-29
2,강남,2024-01-23 02,6,2024-02-29
2,강남,2024-01-23 03,14.7,2024-02-29
2,강남,2024-01-23 04,14,2024-02-29
2,강남,2024-01-23 05,14.1,2024-02-29
2,강남,2024-01-23 06,10.5,2024-02-29
2,강남,2024-01-23 07,33.9,2024-02-29
2,강남,2024-01-23 08,71.6,2024-02-29
2,강남,2024-01-23 09,112.4,2024-02-29
2,강남,2024-01-23 10,112.2,2024-02-29
2,강남,2024-01-23 11,67.9,2024-02-29
2,강남,2024-01-23 12,45.7,2024-02-29
2,강남,2024-01-23 13,47.2,2024-02-29
2,강남,2024-01-23 14,57.1,2024-02-29
2,강남,2024-01-23 15,56.4,2024-02-29
2,강남,2024-01-23 16,56.3,2024-02-29
2,강남,2024-01-23 17,45,2024-02-29
2,강남,2024-01-23 18,55.2,2024-02-29
2,강남,2024-01-23 19,60,2024-02-29
2,강남,2024-01-23 20,44.5,2024-02-29
2,강남,2024-01-23 21,29.2,2024-02-29
2,강남,2024-01-23 22,23,2024-02-29
2,강남,2024-01-23 23,13.9,2024-02-29
2,강남,2024-01-24 00,17.5,2024-02-29
2,강남,2024-01-24 01,10.7,2024-02-29
2,강남,2024-01-24 02,5.8,2024-02-29
2,강남,2024-01-24 03,1.3,2024-02-29
2,강남,2024-01-24 04,5.9,2024-02-29
2,강남,2024-01-24 05,4,2024-02-29
2,강남,2024-01-24 06,3.8,2024-02-29
2,강남,2024-01-24 07,23.8,2024-02-29
2,강남,2024-01-24 08,69.7,2024-02-29
2,강남,2024-01-24 09,110.4,2024-02-29
2,강남,2024-01-24 10,108.6,2024-02-29
2,강남,2024-01-24 11,71.3,2024-02-29
2,강남,2024-01-24 12,57.6,2024-02-29
2,강남,2024-01-24 13,52.5,2024-02-29
2,강남,2024-01-24 14,54,2024-02-29
2,강남,2024-01-24 15,52.5,2024-02-29
2,강남,2024-01-24 16,58.8,2024-02-29
2,강남,2024-01-24 17,60.1,2024-02-29
2,강남,2024-01-24 18,62.9,2024-02-29
2,강남,2024-01-24 19,76.4,2024-02-29
2,강남,2024-01-24 20,55.1,2024-02-29
2,강남,2024-01-24 21,47.6,2024-02-29
2,강남,2024-01-24 22,30.4,2024-02-29
2,강남,2024-01-24 23,24.1,2024-02-29
2,강남,2024-01-25 00,23.5,2024-02-29
2,강남,2024-01-25 01,14,2024-02-29
2,강남,2024-01-25 02,10.5,2024-02-29
2,강남,2024-01-25 03,8.2,2024-02-29
2,강남,2024-01-25 04,6.9,2024-02-29
2,강남,2024-01-25 05,6.7,2024-02-29
2,강남,2024-01-25 06,3.3,2024-02-29
2,강남,2024-01-25 07,17.6,2024-02-29
2,강남,2024-01-25 08,50,2024-02-29
2,강남,2024-01-25 09,89.4,2024-02-29
2,강남,2024-01-25 10,87.1,2024-02-29
2,강남,2024-01-25 11,0,2024-02-29
2,강남,2024-01-25 12,0,2024-02-29
2,강남,2024-01-25 13,35.2,2024-02-29
2,강남,2024-01-25 14,68.4,2024-02-29
2,강남,2024-01-25 15,57.4,2024-02-29
2,강남,2024-01-25 16,53.8,2024-02-29
2,강남,2024-01-25 17,54.3,2024-02-29
2,강남,2024-01-25 18,66.3,2024-02-29
2,강남,2024-01-25 19,73.2,2024-02-29
2,강남,2024-01-25 20,63.1,2024-02-29
2,강남,2024-01-25 21,44.6,2024-02-29
2,강남,2024-01-25 22,30.2,2024-02-29
2,강남,2024-01-25 23,19.5,2024-02-29
2,강남,2024-01-26 00,7.1,2024-02-29
2,강남,2024-01-26 01,2.1,2024-02-29
2,강남,2024-01-26 02,3.1,2024-02-29
2,강남,2024-01-26 03,3.1,2024-02-29
2,강남,2024-01-26 04,6.8,2024-02-29
2,강남,2024-01-26 05,7.5,2024-02-29
2,강남,2024-01-26 06,18.7,2024-02-29
2,강남,2024-01-26 07,46,2024-02-29
2,강남,2024-01-26 08,78,2024-02-29
2,강남,2024-01-26 09,104.7,2024-02-29
2,강남,2024-01-26 10,92.7,2024-02-29
2,강남,2024-01-26 11,67.4,2024-02-29
2,강남,2024-01-26 12,59.5,2024-02-29
2,강남,2024-01-26 13,73.6,2024-02-29
2,강남,2024-01-26 14,68.2,2024-02-29
2,강남,2024-01-26 15,78.4,2024-02-29
2,강남,2024-01-26 16,85.3,2024-02-29
2,강남,2024-01-26 17,85.1,2024-02-29
2,강남,2024-01-26 18,83.9,2024-02-29
2,강남,2024-01-26 19,77,2024-02-29
2,강남,2024-01-26 20,82,2024-02-29
2,강남,2024-01-26 21,67.5,2024-02-29
2,강남,2024-01-26 22,52.4,2024-02-29
2,강남,2024-01-26 23,44.6,2024-02-29
2,강남,2024-01-27 00,31.9,2024-02-29
2,강남,2024-01-27 01,30.6,2024-02-29
2,강남,2024-01-27 02,39,2024-02-29
2,강남,2024-01-27 03,40.5,2024-02-29
2,강남,2024-01-27 04,29.8,2024-02-29
2,강남,2024-01-27 05,27.7,2024-02-29
2,강남,2024-01-27 06,14.5,2024-02-29
2,강남,2024-01-27 07,23.7,2024-02-29
2,강남,2024-01-27 08,34.3,2024-02-29
2,강남,2024-01-27 09,41.2,2024-02-29
2,강남,2024-01-27 10,41.3,2024-02-29
2,강남,2024-01-27 11,37.9,2024-02-29
2,강남,2024-01-27 12,41.6,2024-02-29
2,강남,2024-01-27 13,43.6,2024-02-29
2,강남,2024-01-27 14,48.4,2024-02-29
2,강남,2024-01-27 15,44.8,2024-02-29
2,강남,2024-01-27 16,46.3,2024-02-29
2,강남,2024-01-27 17,40,2024-02-29
2,강남,2024-01-27 18,33.3,2024-02-29
2,강남,2024-01-27 19,33.8,2024-02-29
2,강남,2024-01-27 20,38.1,2024-02-29
2,강남,2024-01-27 21,30.3,2024-02-29
2,강남,2024-01-27 22,38.2,2024-02-29
2,강남,2024-01-27 23,35.3,2024-02-29
2,강남,2024-01-28 00,43.6,2024-02-29
2,강남,2024-01-28 01,43.1,2024-02-29
2,강남,2024-01-28 02,32.9,2024-02-29
2,강남,2024-01-28 03,22.3,2024-02-29
2,강남,2024-01-28 04,16.4,2024-02-29
2,강남,2024-01-28 05,15,2024-02-29
2,강남,2024-01-28 06,10.5,2024-02-29
2,강남,2024-01-28 07,15,2024-02-29
2,강남,2024-01-28 08,17.8,2024-02-29
2,강남,2024-01-28 09,20.5,2024-02-29
2,강남,2024-01-28 10,27,2024-02-29
2,강남,2024-01-28 11,28.2,2024-02-29
2,강남,2024-01-28 12,30.7,2024-02-29
2,강남,2024-01-28 13,30.2,2024-02-29
2,강남,2024-01-28 14,28.7,2024-02-29
2,강남,2024-01-28 15,29.4,2024-02-29
2,강남,2024-01-28 16,30.7,2024-02-29
2,강남,2024-01-28 17,29.6,2024-02-29
2,강남,2024-01-28 18,28.6,2024-02-29
2,강남,2024-01-28 19,29.5,2024-02-29
2,강남,2024-01-28 20,24,2024-02-29
2,강남,2024-01-28 21,28,2024-02-29
2,강남,2024-01-28 22,23.2,2024-02-29
2,강남,2024-01-28 23,23.9,2024-02-29
2,강남,2024-01-29 00,27.1,2024-02-29
2,강남,2024-01-29 01,42.8,2024-02-29
2,강남,2024-01-29 02,43.1,2024-02-29
2,강남,2024-01-29 03,29.7,2024-02-29
2,강남,2024-01-29 04,36.2,2024-02-29
2,강남,2024-01-29 05,30,2024-02-29
2,강남,2024-01-29 06,20.2,2024-02-29
2,강남,2024-01-29 07,26.8,2024-02-29
2,강남,2024-01-29 08,44.9,2024-02-29
2,강남,2024-01-29 09,62.6,2024-02-29
2,강남,2024-01-29 10,54.6,2024-02-29
2,강남,2024-01-29 11,42.3,2024-02-29
2,강남,2024-01-29 12,33.9,2024-02-29
2,강남,2024-01-29 13,40.4,2024-02-29
2,강남,2024-01-29 14,35.3,2024-02-29
2,강남,2024-01-29 15,30.9,2024-02-29
2,강남,2024-01-29 16,30.4,2024-02-29
2,강남,2024-01-29 17,41,2024-02-29
2,강남,2024-01-29 18,50.8,2024-02-29
2,강남,2024-01-29 19,51.4,2024-02-29
2,강남,2024-01-29 20,38.6,2024-02-29
2,강남,2024-01-29 21,38.8,2024-02-29
2,강남,2024-01-29 22,32,2024-02-29
2,강남,2024-01-29 23,32.6,2024-02-29
2,강남,2024-01-30 00,44.6,2024-02-29
2,강남,2024-01-30 01,74.9,2024-02-29
2,강남,2024-01-30 02,58.5,2024-02-29
2,강남,2024-01-30 03,46.1,2024-02-29
2,강남,2024-01-30 04,45.6,2024-02-29
2,강남,2024-01-30 05,41.5,2024-02-29
2,강남,2024-01-30 06,29.9,2024-02-29
2,강남,2024-01-30 07,33.2,2024-02-29
2,강남,2024-01-30 08,54.9,2024-02-29
2,강남,2024-01-30 09,64.1,2024-02-29
2,강남,2024-01-30 10,55.7,2024-02-29
2,강남,2024-01-30 11,44.9,2024-02-29
2,강남,2024-01-30 12,43.2,2024-02-29
2,강남,2024-01-30 13,49.6,2024-02-29
2,강남,2024-01-30 14,45.3,2024-02-29
2,강남,2024-01-30 15,44.4,2024-02-29
2,강남,2024-01-30 16,41.8,2024-02-29
2,강남,2024-01-30 17,47.7,2024-02-29
2,강남,2024-01-30 18,56.3,2024-02-29
2,강남,2024-01-30 19,60,2024-02-29
2,강남,2024-01-30 20,55.1,2024-02-29
2,강남,2024-01-30 21,40.4,2024-02-29
2,강남,2024-01-30 22,38.7,2024-02-29
2,강남,2024-01-30 23,35.2,2024-02-29
2,강남,2024-01-31 00,38.6,2024-02-29
2,강남,2024-01-31 01,61.4,2024-02-29
2,강남,2024-01-31 02,49.5,2024-02-29
2,강남,2024-01-31 03,35.7,2024-02-29
2,강남,2024-01-31 04,34.1,2024-02-29
2,강남,2024-01-31 05,33.7,2024-02-29
2,강남,2024-01-31 06,19.7,2024-02-29
2,강남,2024-01-31 07,34.2,2024-02-29
2,강남,2024-01-31 08,40.5,2024-02-29
2,강남,2024-01-31 09,76,2024-02-29
2,강남,2024-01-31 10,72.1,2024-02-29
2,강남,2024-01-31 11,53.3,2024-02-29
2,강남,2024-01-31 12,58.6,2024-02-29
2,강남,2024-01-31 13,52.3,2024-02-29
2,강남,2024-01-31 14,39.6,2024-02-29
2,강남,2024-01-31 15,42.3,2024-02-29
2,강남,2024-01-31 16,40.6,2024-02-29
2,강남,2024-01-31 17,39.8,2024-02-29
2,강남,2024-01-31 18,54.9,2024-02-29
2,강남,2024-01-31 19,53.9,2024-02-29
2,강남,2024-01-31 20,52.3,2024-02-29
2,강남,2024-01-31 21,41.3,2024-02-29
2,강남,2024-01-31 22,39.3,2024-02-29
2,강남,2024-01-31 23,33.5,2024-02-29
