Date,City_Code,Rainfall(mm)
2021-12-30,108,0
2021-12-31,108,
2022-01-01,108,
2022-01-02,108,0.3
2022-01-03,108,0
2022-01-04,108,0
2022-01-05,108,
2022-01-06,108,
2022-01-07,108,
2022-01-08,108,0
2022-01-09,108,
2022-01-10,108,0.9
2022-01-11,108,0.2
2022-01-12,108,
2022-01-13,108,
2022-01-14,108,
2022-01-15,108,0
2022-01-16,108,0
2022-01-17,108,0.5
2022-01-18,108,
2022-01-19,108,1.7
2022-01-20,108,
2022-01-21,108,
2022-01-22,108,
2022-01-23,108,
2022-01-24,108,
2022-01-25,108,0.7
2022-01-26,108,
2022-01-27,108,
2022-01-28,108,
2022-01-29,108,
2022-01-30,108,
2022-01-31,108,1.2
2022-02-01,108,1.7
2022-02-02,108,
2022-02-03,108,
2022-02-04,108,0
2022-02-05,108,
2022-02-06,108,
2022-02-07,108,
2022-02-08,108,
2022-02-09,108,
2022-02-10,108,
2022-02-11,108,
2022-02-12,108,
2022-02-13,108,
2022-02-14,108,1.7
2022-02-15,108,0
2022-02-16,108,0
2022-02-17,108,
2022-02-18,108,
2022-02-19,108,0.1
2022-02-20,108,
2022-02-21,108,0.1
2022-02-22,108,
2022-02-23,108,
2022-02-24,108,
2022-02-25,108,
2022-02-26,108,1.1
2022-02-27,108,
2022-02-28,108,
2022-03-01,108,2.3
2022-03-02,108,
2022-03-03,108,
2022-03-04,108,
2022-03-05,108,
2022-03-06,108,
2022-03-07,108,
2022-03-08,108,
2022-03-09,108,
2022-03-10,108,
2022-03-11,108,
2022-03-12,108,2.6
2022-03-13,108,42.1
2022-03-14,108,8.7
2022-03-15,108,
2022-03-16,108,
2022-03-17,108,1.2
2022-03-18,108,0
2022-03-19,108,14.6
2022-03-20,108,0
2022-03-21,108,
2022-03-22,108,
2022-03-23,108,
2022-03-24,108,
2022-03-25,108,10.9
2022-03-26,108,19.8
2022-03-27,108,
2022-03-28,108,
2022-03-29,108,
2022-03-30,108,0.4
2022-03-31,108,
2022-04-01,108,
2022-04-02,108,
2022-04-03,108,
2022-04-04,108,
2022-04-05,108,
2022-04-06,108,
2022-04-07,108,
2022-04-08,108,
2022-04-09,108,0.5
2022-04-10,108,
2022-04-11,108,
2022-04-12,108,0.5
2022-04-13,108,1.3
2022-04-14,108,
2022-04-15,108,
2022-04-16,108,
2022-04-17,108,
2022-04-18,108,
2022-04-19,108,
2022-04-20,108,
2022-04-21,108,
2022-04-22,108,
2022-04-23,108,
2022-04-24,108,0.3
2022-04-25,108,1.3
2022-04-26,108,1
2022-04-27,108,
2022-04-28,108,0
2022-04-29,108,15.5
2022-04-30,108,
2022-05-01,108,
2022-05-02,108,
2022-05-03,108,
2022-05-04,108,
2022-05-05,108,
2022-05-06,108,
2022-05-07,108,0.5
2022-05-08,108,2
2022-05-09,108,
2022-05-10,108,0
2022-05-11,108,0
2022-05-12,108,
2022-05-13,108,
2022-05-14,108,
2022-05-15,108,
2022-05-16,108,
2022-05-17,108,
2022-05-18,108,1.5
2022-05-19,108,
2022-05-20,108,
2022-05-21,108,
2022-05-22,108,
2022-05-23,108,
2022-05-24,108,
2022-05-25,108,3.5
2022-05-26,108,0
2022-05-27,108,0
2022-05-28,108,
2022-05-29,108,
2022-05-30,108,0
2022-05-31,108,
2022-06-01,108,
2022-06-02,108,
2022-06-03,108,
2022-06-04,108,
2022-06-05,108,0
2022-06-06,108,4.3
2022-06-07,108,0
2022-06-08,108,
2022-06-09,108,2.6
2022-06-10,108,1.2
2022-06-11,108,
2022-06-12,108,
2022-06-13,108,18
2022-06-14,108,0
2022-06-15,108,18.5
2022-06-16,108,0.7
2022-06-17,108,
2022-06-18,108,0
2022-06-19,108,
2022-06-20,108,
2022-06-21,108,
2022-06-22,108,
2022-06-23,108,103
2022-06-24,108,19.1
2022-06-25,108,
2022-06-26,108,
2022-06-27,108,6.1
2022-06-28,108,6.3
2022-06-29,108,37.8
2022-06-30,108,176.2
2022-07-01,108,
2022-07-02,108,
2022-07-03,108,
2022-07-04,108,0
2022-07-05,108,0
2022-07-06,108,16.1
2022-07-07,108,0
2022-07-08,108,1.7
2022-07-09,108,0.1
2022-07-10,108,0
2022-07-11,108,9
2022-07-12,108,
2022-07-13,108,114.5
2022-07-14,108,0.9
2022-07-15,108,
2022-07-16,108,34
2022-07-17,108,0
2022-07-18,108,
2022-07-19,108,
2022-07-20,108,1.1
2022-07-21,108,10.4
2022-07-22,108,5.2
2022-07-23,108,9.9
2022-07-24,108,1.2
2022-07-25,108,
2022-07-26,108,
2022-07-27,108,
2022-07-28,108,
2022-07-29,108,
2022-07-30,108,1
2022-07-31,108,47.2
2022-08-01,108,30
2022-08-02,108,33.5
2022-08-03,108,51.1
2022-08-04,108,0
2022-08-05,108,0
2022-08-06,108,13.6
2022-08-07,108,0.9
2022-08-08,108,129.6
2022-08-09,108,123.1
2022-08-10,108,7.6
2022-08-11,108,38.8
2022-08-12,108,
2022-08-13,108,4
2022-08-14,108,3
2022-08-15,108,0.9
2022-08-16,108,0
2022-08-17,108,0
2022-08-18,108,
2022-08-19,108,66.1
2022-08-20,108,0
2022-08-21,108,
2022-08-22,108,3.2
2022-08-23,108,2.2
2022-08-24,108,
2022-08-25,108,1.6
2022-08-26,108,
2022-08-27,108,17.6
2022-08-28,108,
2022-08-29,108,2.2
2022-08-30,108,35.8
2022-08-31,108,0
2022-09-01,108,
2022-09-02,108,
2022-09-03,108,
2022-09-04,108,33.8
2022-09-05,108,120
2022-09-06,108,25.3
2022-09-07,108,
2022-09-08,108,
2022-09-09,108,
2022-09-10,108,
2022-09-11,108,0.1
2022-09-12,108,
2022-09-13,108,0
2022-09-14,108,0
2022-09-15,108,0.1
2022-09-16,108,14.6
2022-09-17,108,4.3
2022-09-18,108,
2022-09-19,108,
2022-09-20,108,
2022-09-21,108,
2022-09-22,108,
2022-09-23,108,3.3
2022-09-24,108,
2022-09-25,108,
2022-09-26,108,
2022-09-27,108,
2022-09-28,108,
2022-09-29,108,
2022-09-30,108,
2022-10-01,108,
2022-10-02,108,15.8
2022-10-03,108,76
2022-10-04,108,11.8
2022-10-05,108,0.1
2022-10-06,108,0
2022-10-07,108,
2022-10-08,108,
2022-10-09,108,20.4
2022-10-10,108,0
2022-10-11,108,
2022-10-12,108,
2022-10-13,108,
2022-10-14,108,
2022-10-15,108,
2022-10-16,108,
2022-10-17,108,
2022-10-18,108,
2022-10-19,108,
2022-10-20,108,
2022-10-21,108,
2022-10-22,108,
2022-10-23,108,
2022-10-24,108,
2022-10-25,108,
2022-10-26,108,
2022-10-27,108,
2022-10-28,108,
2022-10-29,108,
2022-10-30,108,
2022-10-31,108,
2022-11-01,108,
2022-11-02,108,
2022-11-03,108,0
2022-11-04,108,
2022-11-05,108,
2022-11-06,108,
2022-11-07,108,0
2022-11-08,108,
2022-11-09,108,
2022-11-10,108,
2022-11-11,108,
2022-11-12,108,57.9
2022-11-13,108,
2022-11-14,108,
2022-11-15,108,1.6
2022-11-16,108,
2022-11-17,108,
2022-11-18,108,
2022-11-19,108,
2022-11-20,108,
2022-11-21,108,
2022-11-22,108,0
2022-11-23,108,0
2022-11-24,108,
2022-11-25,108,1.7
2022-11-26,108,
2022-11-27,108,
2022-11-28,108,19.5
2022-11-29,108,3.8
2022-11-30,108,
2022-12-01,108,
2022-12-02,108,
2022-12-03,108,1.1
2022-12-04,108,
2022-12-05,108,
2022-12-06,108,0.1
2022-12-07,108,0.1
2022-12-08,108,
2022-12-09,108,0
2022-12-10,108,
2022-12-11,108,
2022-12-12,108,5.4
2022-12-13,108,0.6
2022-12-14,108,
2022-12-15,108,2.4
2022-12-16,108,
2022-12-17,108,0.2
2022-12-18,108,
2022-12-19,108,
2022-12-20,108,
2022-12-21,108,3.6
2022-12-22,108,
2022-12-23,108,
2022-12-24,108,
2022-12-25,108,
2022-12-26,108,
2022-12-27,108,
2022-12-28,108,0.1
2022-12-29,108,0
2022-12-30,108,0
2022-12-31,108,0
2023-01-01,108,
2023-01-02,108,
2023-01-03,108,
2023-01-04,108,
2023-01-05,108,
2023-01-06,108,3.9
2023-01-07,108,0.1
2023-01-08,108,
2023-01-09,108,
2023-01-10,108,
2023-01-11,108,
2023-01-12,108,0
2023-01-13,108,37.3
2023-01-14,108,1.6
2023-01-15,108,3.2
2023-01-16,108,0
2023-01-17,108,0
2023-01-18,108,0
2023-01-19,108,1
2023-01-20,108,
2023-01-21,108,
2023-01-22,108,0
2023-01-23,108,
2023-01-24,108,0
2023-01-25,108,0
2023-01-26,108,0.8
2023-01-27,108,
2023-01-28,108,0
2023-01-29,108,
2023-01-30,108,
2023-01-31,108,
2023-02-01,108,
2023-02-02,108,
2023-02-03,108,
2023-02-04,108,
2023-02-05,108,
2023-02-06,108,
2023-02-07,108,
2023-02-08,108,
2023-02-09,108,0
2023-02-10,108,0.6
2023-02-11,108,
2023-02-12,108,
2023-02-13,108,
2023-02-14,108,
2023-02-15,108,
2023-02-16,108,0
2023-02-17,108,
2023-02-18,108,
2023-02-19,108,0.4
2023-02-20,108,
2023-02-21,108,
2023-02-22,108,
2023-02-23,108,
2023-02-24,108,
2023-02-25,108,
2023-02-26,108,
2023-02-27,108,
2023-02-28,108,
2023-03-01,108,
2023-03-02,108,
2023-03-03,108,
2023-03-04,108,
2023-03-05,108,
2023-03-06,108,
2023-03-07,108,
2023-03-08,108,1.2
2023-03-09,108,3.7
2023-03-10,108,
2023-03-11,108,
2023-03-12,108,5.6
2023-03-13,108,
2023-03-14,108,
2023-03-15,108,
2023-03-16,108,
2023-03-17,108,
2023-03-18,108,
2023-03-19,108,
2023-03-20,108,
2023-03-21,108,
2023-03-22,108,
2023-03-23,108,0
2023-03-24,108,
2023-03-25,108,
2023-03-26,108,
2023-03-27,108,
2023-03-28,108,
2023-03-29,108,
2023-03-30,108,
2023-03-31,108,
2023-04-01,108,
2023-04-02,108,
2023-04-03,108,
2023-04-04,108,6.9
2023-04-05,108,50.3
2023-04-06,108,2.7
2023-04-07,108,
2023-04-08,108,
2023-04-09,108,
2023-04-10,108,
2023-04-11,108,2.9
2023-04-12,108,
2023-04-13,108,0
2023-04-14,108,
2023-04-15,108,4.6
2023-04-16,108,0
2023-04-17,108,
2023-04-18,108,1.5
2023-04-19,108,
2023-04-20,108,0.5
2023-04-21,108,
2023-04-22,108,
2023-04-23,108,
2023-04-24,108,
2023-04-25,108,0.4
2023-04-26,108,0
2023-04-27,108,
2023-04-28,108,1.9
2023-04-29,108,25.1
2023-04-30,108,0.1
2023-05-01,108,
2023-05-02,108,
2023-05-03,108,
2023-05-04,108,
2023-05-05,108,30.2
2023-05-06,108,47.5
2023-05-07,108,
2023-05-08,108,
2023-05-09,108,
2023-05-10,108,
2023-05-11,108,
2023-05-12,108,
2023-05-13,108,0
2023-05-14,108,
2023-05-15,108,
2023-05-16,108,
2023-05-17,108,
2023-05-18,108,1.3
2023-05-19,108,
2023-05-20,108,
2023-05-21,108,0.2
2023-05-22,108,0
2023-05-23,108,
2023-05-24,108,
2023-05-25,108,0
2023-05-26,108,0.5
2023-05-27,108,31.8
2023-05-28,108,41.8
2023-05-29,108,2.3
2023-05-30,108,
2023-05-31,108,
2023-06-01,108,
2023-06-02,108,0
2023-06-03,108,
2023-06-04,108,
2023-06-05,108,
2023-06-06,108,0
2023-06-07,108,0
2023-06-08,108,1.9
2023-06-09,108,1.2
2023-06-10,108,0.8
2023-06-11,108,32.2
2023-06-12,108,0
2023-06-13,108,0
2023-06-14,108,30.6
2023-06-15,108,
2023-06-16,108,
2023-06-17,108,
2023-06-18,108,
2023-06-19,108,
2023-06-20,108,6.4
2023-06-21,108,24.9
2023-06-22,108,0
2023-06-23,108,
2023-06-24,108,
2023-06-25,108,
2023-06-26,108,30.3
2023-06-27,108,2.5
2023-06-28,108,0
2023-06-29,108,63.8
2023-06-30,108,1
2023-07-01,108,
2023-07-02,108,
2023-07-03,108,
2023-07-04,108,61.8
2023-07-05,108,15.3
2023-07-06,108,
2023-07-07,108,
2023-07-08,108,
2023-07-09,108,47.5
2023-07-10,108,11.5
2023-07-11,108,58.3
2023-07-12,108,0.7
2023-07-13,108,91.6
2023-07-14,108,72.7
2023-07-15,108,2.3
2023-07-16,108,9.7
2023-07-17,108,1.4
2023-07-18,108,2.3
2023-07-19,108,
2023-07-20,108,
2023-07-21,108,
2023-07-22,108,12.3
2023-07-23,108,40.2
2023-07-24,108,0.4
2023-07-25,108,5.6
2023-07-26,108,1
2023-07-27,108,0
2023-07-28,108,
2023-07-29,108,
2023-07-30,108,25
2023-07-31,108,0.3
2023-08-01,108,
2023-08-02,108,
2023-08-03,108,
2023-08-04,108,
2023-08-05,108,
2023-08-06,108,4.9
2023-08-07,108,
2023-08-08,108,
2023-08-09,108,0.2
2023-08-10,108,86.1
2023-08-11,108,46.7
2023-08-12,108,1.5
2023-08-13,108,
2023-08-14,108,
2023-08-15,108,
2023-08-16,108,0.3
2023-08-17,108,
2023-08-18,108,0.1
2023-08-19,108,
2023-08-20,108,0
2023-08-21,108,0
2023-08-22,108,42.6
2023-08-23,108,41.8
2023-08-24,108,5.2
2023-08-25,108,0
2023-08-26,108,
2023-08-27,108,0
2023-08-28,108,10.4
2023-08-29,108,54.8
2023-08-30,108,3.5
2023-08-31,108,
2023-09-01,108,
2023-09-02,108,
2023-09-03,108,0.1
2023-09-04,108,0.3
2023-09-05,108,0
2023-09-06,108,
2023-09-07,108,
2023-09-08,108,
2023-09-09,108,
2023-09-10,108,
2023-09-11,108,
2023-09-12,108,
2023-09-13,108,15.9
2023-09-14,108,
2023-09-15,108,2.1
2023-09-16,108,38.7
2023-09-17,108,3
2023-09-18,108,
2023-09-19,108,
2023-09-20,108,35.8
2023-09-21,108,0
2023-09-22,108,
2023-09-23,108,
2023-09-24,108,
2023-09-25,108,1.9
2023-09-26,108,27.8
2023-09-27,108,4.4
2023-09-28,108,
2023-09-29,108,
2023-09-30,108,4.5
2023-10-01,108,
2023-10-02,108,
2023-10-03,108,
2023-10-04,108,14.7
2023-10-05,108,
2023-10-06,108,
2023-10-07,108,
2023-10-08,108,0
2023-10-09,108,1.2
2023-10-10,108,
2023-10-11,108,
2023-10-12,108,
2023-10-13,108,
2023-10-14,108,5.8
2023-10-15,108,
2023-10-16,108,
2023-10-17,108,
2023-10-18,108,
2023-10-19,108,8.2
2023-10-20,108,
2023-10-21,108,1.1
2023-10-22,108,
2023-10-23,108,
2023-10-24,108,
2023-10-25,108,
2023-10-26,108,0
2023-10-27,108,
2023-10-28,108,
2023-10-29,108,
2023-10-30,108,
2023-10-31,108,
2023-11-01,108,0
2023-11-02,108,
2023-11-03,108,8.5
2023-11-04,108,
2023-11-05,108,10.4
2023-11-06,108,45.8
2023-11-07,108,0
2023-11-08,108,
2023-11-09,108,5.1
2023-11-10,108,
2023-11-11,108,
2023-11-12,108,
2023-11-13,108,
2023-11-14,108,
2023-11-15,108,
2023-11-16,108,8.4
2023-11-17,108,0
2023-11-18,108,
2023-11-19,108,
2023-11-20,108,
2023-11-21,108,
2023-11-22,108,
2023-11-23,108,0.1
2023-11-24,108,
2023-11-25,108,
2023-11-26,108,0
2023-11-27,108,3.6
2023-11-28,108,0
2023-11-29,108,0
2023-11-30,108,
2023-12-01,108,
2023-12-02,108,0
2023-12-03,108,
2023-12-04,108,
2023-12-05,108,
2023-12-06,108,3.8
2023-12-07,108,
2023-12-08,108,
2023-12-09,108,
2023-12-10,108,0
2023-12-11,108,11.4
2023-12-12,108,0.4
2023-12-13,108,
2023-12-14,108,17
2023-12-15,108,31.1
2023-12-16,108,1.5
2023-12-17,108,
2023-12-18,108,
2023-12-19,108,0.3
2023-12-20,108,0.8
2023-12-21,108,
2023-12-22,108,
2023-12-23,108,
2023-12-24,108,1.1
2023-12-25,108,0.7
2023-12-26,108,
2023-12-27,108,
2023-12-28,108,
2023-12-29,108,
2023-12-30,108,13.1
2023-12-31,108,4.7
